"Notes"	"Cancer Sites"	"Cancer Sites Code"	"States"	"States Code"	"Age Groups"	"Age Groups Code"	"Year"	"Year Code"	Count
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"< 1 year"	"1"	"2003"	"2003"	16
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"< 1 year"	"1"	"2005"	"2005"	20
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"< 1 year"	"1"	"2006"	"2006"	17
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"< 1 year"	"1"	"2007"	"2007"	16
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"< 1 year"	"1"	"2008"	"2008"	27
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"< 1 year"	"1"	"2010"	"2010"	19
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"< 1 year"	"1"	"2012"	"2012"	21
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"< 1 year"	"1"	"2013"	"2013"	28
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"< 1 year"	"1"	"2014"	"2014"	27
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"< 1 year"	"1"	"2015"	"2015"	16
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"< 1 year"	"1"	"2016"	"2016"	17
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"< 1 year"	"1"	"2017"	"2017"	27
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"< 1 year"	"1"	"2018"	"2018"	24
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"< 1 year"	"1"	"2019"	"2019"	16
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"< 1 year"	"1"	"2020"	"2020"	18
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"1-4 years"	"1-4"	"1999"	"1999"	47
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"1-4 years"	"1-4"	"2000"	"2000"	71
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"1-4 years"	"1-4"	"2001"	"2001"	71
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"1-4 years"	"1-4"	"2002"	"2002"	64
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"1-4 years"	"1-4"	"2003"	"2003"	56
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"1-4 years"	"1-4"	"2004"	"2004"	68
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"1-4 years"	"1-4"	"2005"	"2005"	56
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"1-4 years"	"1-4"	"2006"	"2006"	56
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"1-4 years"	"1-4"	"2007"	"2007"	65
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"1-4 years"	"1-4"	"2008"	"2008"	68
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"1-4 years"	"1-4"	"2009"	"2009"	58
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"1-4 years"	"1-4"	"2010"	"2010"	58
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"1-4 years"	"1-4"	"2011"	"2011"	67
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"1-4 years"	"1-4"	"2012"	"2012"	73
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"1-4 years"	"1-4"	"2013"	"2013"	64
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"1-4 years"	"1-4"	"2014"	"2014"	57
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"1-4 years"	"1-4"	"2015"	"2015"	62
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"1-4 years"	"1-4"	"2016"	"2016"	62
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"1-4 years"	"1-4"	"2017"	"2017"	90
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"1-4 years"	"1-4"	"2018"	"2018"	89
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"1-4 years"	"1-4"	"2019"	"2019"	76
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"1-4 years"	"1-4"	"2020"	"2020"	62
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"1-4 years"	"1-4"	"2021"	"2021"	58
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"5-9 years"	"5-9"	"1999"	"1999"	32
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"5-9 years"	"5-9"	"2000"	"2000"	46
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"5-9 years"	"5-9"	"2001"	"2001"	36
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"5-9 years"	"5-9"	"2002"	"2002"	48
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"5-9 years"	"5-9"	"2003"	"2003"	28
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"5-9 years"	"5-9"	"2004"	"2004"	45
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"5-9 years"	"5-9"	"2005"	"2005"	36
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"5-9 years"	"5-9"	"2006"	"2006"	35
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"5-9 years"	"5-9"	"2007"	"2007"	38
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"5-9 years"	"5-9"	"2008"	"2008"	45
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	"5-9 years"	"5-9"	"2009"	"2009"	50
