OBJECTID,Land_Use,Land_Use_Code,RuleID,Shape__Area,Shape__Length
1,Community Mixed Use,CM3,3,1536807.453125,8634.62763045838
2,Community Mixed Use,CM3,3,850656.78125,6698.32416361659
3,Community Mixed Use,CM3,3,843809.89453125,8203.08565409064
4,Community Mixed Use,CM3,3,776923.57421875,8416.14620752293
5,Community Mixed Use,CM3,3,677626.32421875,5310.06040597176
6,Community Mixed Use,CM3,3,633355.91796875,5267.33741483071
7,Community Mixed Use,CM3,3,494906.52734375,3707.05633002547
8,Community Mixed Use,CM3,3,492788.9921875,5845.59971930719
9,Community Mixed Use,CM3,3,483814.23828125,4274.98645986329
10,Community Mixed Use,CM3,3,370709.6875,4992.51307038807
11,Community Mixed Use,CM3,3,302487.69140625,2532.65926213914
12,Community Mixed Use,CM3,3,294485.95703125,5811.03161597411
13,Community Mixed Use,CM3,3,202323.51171875,2985.8503628254
14,Community Mixed Use,CM3,3,184093.79296875,4516.42721245735
15,Community Mixed Use,CM3,3,173810.62890625,2181.199824994
16,Community Mixed Use,CM3,3,168502.6328125,2827.18732774392
17,Community Mixed Use,CM3,3,157785.38671875,2325.53661714085
18,Community Mixed Use,CM3,3,114988.34765625,1546.5096619313
19,Community Mixed Use,CM3,3,114481.4609375,1539.49890443596
20,Community Mixed Use,CM3,3,90895.89453125,2113.69079217598
21,Community Mixed Use,CM3,3,86161.06640625,2122.55232242851
22,Community Mixed Use,CM3,3,77585.57421875,2169.7415113639
23,Community Mixed Use,CM3,3,71642.83203125,1306.91074735371
24,Community Mixed Use,CM3,3,67880.3671875,1447.1950774847
25,Community Mixed Use,CM3,3,66271.8515625,1497.78981598239
26,Community Mixed Use,CM3,3,51391.3359375,1189.57043250911
27,Community Mixed Use,CM3,3,50180.6484375,1206.36719596587
28,Community Mixed Use,CM3,3,45633.27734375,916.331856389318
29,Community Mixed Use,CM3,3,37029.671875,973.870290537719
30,Community Mixed Use,CM3,3,35978.515625,761.09968392367
31,Community Mixed Use,CM3,3,25280.1015625,663.575010638095
32,Community Mixed Use,CM3,3,23443.57421875,864.652441075504
33,Community Mixed Use,CM3,3,17396.59765625,1082.04439498998
34,Community Mixed Use,CM3,3,12076.68359375,758.356216388733
35,Community Mixed Use,CM3,3,11058.1328125,669.802089729314
36,Community Mixed Use,CM3,3,8812.21875,433.987988700618
37,Community Mixed Use,CM3,3,6539.0234375,327.483803805015
38,Community Mixed Use,CM3,3,4972.19140625,295.557754962399
39,Community Mixed Use,CM3,3,4189.4453125,265.317547605686
40,Community Mixed Use,CM3,3,3916.609375,327.357473204484
41,Community Mixed Use,CM3,3,1453.26171875,202.994655722557
42,Community Mixed Use,CM3,3,920.46875,119.934829754552
43,Corridor Mixed Use,CM2,2,2556358.35546875,19138.6853446633
44,Corridor Mixed Use,CM2,2,706376.37890625,11135.6371323826
45,Corridor Mixed Use,CM2,2,663659.5859375,8047.49808076274
46,Corridor Mixed Use,CM2,2,656120.82421875,7155.84388750263
47,Corridor Mixed Use,CM2,2,647492.66796875,5144.04333621528
48,Corridor Mixed Use,CM2,2,641141.33203125,3715.79629747866
49,Corridor Mixed Use,CM2,2,591796.69921875,7758.6606420991
50,Corridor Mixed Use,CM2,2,480396.41796875,6769.95813510775
51,Corridor Mixed Use,CM2,2,465065.09375,6464.78017642614
52,Corridor Mixed Use,CM2,2,463418.69921875,6539.10394669413
53,Corridor Mixed Use,CM2,2,400445.3203125,4037.81865272736
54,Corridor Mixed Use,CM2,2,343151.9609375,5112.87157882235
55,Corridor Mixed Use,CM2,2,333513.515625,4456.83444294802
56,Corridor Mixed Use,CM2,2,310231.11328125,4418.74174538153
57,Corridor Mixed Use,CM2,2,294473.171875,3248.91417408199
58,Corridor Mixed Use,CM2,2,289251.515625,4795.26154630534
59,Corridor Mixed Use,CM2,2,273756.0546875,4003.87953374248
60,Corridor Mixed Use,CM2,2,242311.41796875,4210.08837745336
61,Corridor Mixed Use,CM2,2,214318.76953125,2032.53538226111
62,Corridor Mixed Use,CM2,2,202714.1015625,2513.17753618644
63,Corridor Mixed Use,CM2,2,185990.15625,2869.09119695826
64,Corridor Mixed Use,CM2,2,164331.84375,2329.98178492625
65,Corridor Mixed Use,CM2,2,157939.5703125,2565.46888043201
66,Corridor Mixed Use,CM2,2,147877.05078125,2180.93655717075
67,Corridor Mixed Use,CM2,2,130490.5703125,2143.7072847948
68,Corridor Mixed Use,CM2,2,123518.30859375,2452.8829576375
69,Corridor Mixed Use,CM2,2,114811.70703125,1853.22674913733
70,Corridor Mixed Use,CM2,2,114053.48828125,1451.52215884859
71,Corridor Mixed Use,CM2,2,103896.9296875,1811.16424266958
72,Corridor Mixed Use,CM2,2,83222.4765625,1469.52284450425
73,Corridor Mixed Use,CM2,2,81362.14453125,1805.83990555218
74,Corridor Mixed Use,CM2,2,77116.078125,1355.69903206003
75,Corridor Mixed Use,CM2,2,76416.91796875,1130.03127852715
76,Corridor Mixed Use,CM2,2,71196.59375,1692.60726561765
77,Corridor Mixed Use,CM2,2,70027.1484375,1197.17428986137
78,Corridor Mixed Use,CM2,2,69009.77734375,1280.99165566858
79,Corridor Mixed Use,CM2,2,66650.98046875,1204.31468029834
80,Corridor Mixed Use,CM2,2,64465.84375,1116.05415529261
81,Corridor Mixed Use,CM2,2,61554.2265625,1176.62330789898
82,Corridor Mixed Use,CM2,2,59656.7421875,1203.5716820233
83,Corridor Mixed Use,CM2,2,56906.34375,1460.54705875827
84,Corridor Mixed Use,CM2,2,52218.09765625,1065.59118565828
85,Corridor Mixed Use,CM2,2,51769.61328125,987.649019906618
86,Corridor Mixed Use,CM2,2,51632.515625,1002.09485095322
