scientificName,catalogNumber,recordedBy,eventDate,year,country,stateProvince,decimalLatitude,decimalLongitude
"Aedes (Finlaya) jugraensis (Leicester, 1908)",NHMUK013451423,['Miss Hayley L. Brant'],,2013,Malaysia,Sabah,4.69769,117.5822
"Aedes (Finlaya) jugraensis (Leicester, 1908)",NHMUK013451422,['Miss Hayley L. Brant'],,2013,Malaysia,Sabah,4.73456,116.95542
"Aedes (Finlaya) jugraensis (Leicester, 1908)",NHMUK013451421,['Miss Hayley L. Brant'],,2013,Malaysia,Sabah,4.73419,116.95794
"Aedes (Ochlerotatus) punctor Kirby, 1837",BMNH(E)964289,['Revd. Alfred Edwin Eaton'],,1911,United Kingdom,England,50.663706,-1.959287
"Anopheles (Anopheles) claviger (Meigen, 1804)",BMNH(E)962949,['Revd. Alfred Edwin Eaton'],,1907,United Kingdom,England,50.856954826433,-0.553860884655
"Culiseta (Culicella) morsitans (Theobald, 1901)",BMNH(E)965457,['Revd. Alfred Edwin Eaton'],,1907,United Kingdom,England,50.8292,-0.4839
"Anopheles (Anopheles) maculipennis Meigen, 1818",NHMUK015554116,['Dr Mark D. Welch'],,2023,United Kingdom,England,52.400172,0.28195713
"Culiseta (Culicella) morsitans (Theobald, 1901)",NHMUK015554113,['Dr Mark D. Welch'],,2023,United Kingdom,England,52.400172,0.28195713
"Culiseta (Culicella) morsitans (Theobald, 1901)",NHMUK015554117,['Dr Mark D. Welch'],,2023,United Kingdom,England,52.400172,0.28195713
"Culiseta (Culicella) morsitans (Theobald, 1901)",NHMUK015554112,['Dr Mark D. Welch'],,2023,United Kingdom,England,52.400172,0.28195713
"Aedes (Ochlerotatus) punctor Kirby, 1837",NHMUK015553724,['Julian Small'],,2022,United Kingdom,England,52.696607,1.4571479
"Culiseta (Culiseta) annulata Schrank, 1776",NHMUK015206759,['Maxwell V.L. Barclay'],,2023,United Kingdom,England,51.342395,-0.64979196
"Culiseta (Culicella) litorea (Shute, 1928)",NHMUK015558100,['Dr Mark D. Welch'],,2023,United Kingdom,England,52.399826,0.28074858
"Culiseta (Culicella) litorea (Shute, 1928)",NHMUK015558099,['Dr Mark D. Welch'],,2023,United Kingdom,England,52.400172,0.28195713
"Culiseta (Culicella) litorea (Shute, 1928)",NHMUK015558098,['Dr Mark D. Welch'],,2023,United Kingdom,England,52.399826,0.28074858
"Culiseta (Culicella) litorea (Shute, 1928)",NHMUK015558097,['Dr Mark D. Welch'],,2023,United Kingdom,England,52.398443,0.28019215
"Culiseta (Culicella) litorea (Shute, 1928)",NHMUK015558096,['Dr Mark D. Welch'],,2023,United Kingdom,England,52.399826,0.28074858
"Culiseta (Culicella) litorea (Shute, 1928)",NHMUK015558095,['Dr Mark D. Welch'],,2023,United Kingdom,England,52.398443,0.28019215
"Culiseta (Culicella) litorea (Shute, 1928)",NHMUK015558094,['Dr Mark D. Welch'],,2023,United Kingdom,England,52.398443,0.28019215
"Culiseta (Culicella) litorea (Shute, 1928)",NHMUK015558093,['Dr Mark D. Welch'],,2023,United Kingdom,England,52.398443,0.28019215
"Culiseta (Culicella) litorea (Shute, 1928)",NHMUK015558092,['Dr Mark D. Welch'],,2023,United Kingdom,England,52.399826,0.28074858
"Culiseta (Culicella) litorea (Shute, 1928)",NHMUK015558091,['Dr Mark D. Welch'],,2023,United Kingdom,England,52.398443,0.28019215
"Culiseta (Culicella) litorea (Shute, 1928)",NHMUK015558090,['Dr Mark D. Welch'],,2023,United Kingdom,England,52.398443,0.28019215
"Aedes (Ochlerotatus) flavescens (Theobald, 1901)",NHMUK015558089,['Dr Mark D. Welch'],,2023,United Kingdom,England,52.399583,0.28122116
"Aedes (Ochlerotatus) flavescens (Theobald, 1901)",NHMUK015558088,['Dr Mark D. Welch'],,2023,United Kingdom,England,52.399583,0.28122116
"Aedes (Ochlerotatus) flavescens (Theobald, 1901)",NHMUK015558087,['Dr Mark D. Welch'],,2023,United Kingdom,England,52.399583,0.28122116
"Aedes (Ochlerotatus) flavescens (Theobald, 1901)",NHMUK015558086,['Dr Mark D. Welch'],,2023,United Kingdom,England,52.399583,0.28122116
"Aedes (Ochlerotatus) flavescens (Theobald, 1901)",NHMUK015558085,['Dr Mark D. Welch'],,2023,United Kingdom,England,52.399583,0.28122116
"Aedes (Ochlerotatus) flavescens (Theobald, 1901)",NHMUK015558084,['Dr Mark D. Welch'],,2023,United Kingdom,England,52.399583,0.28122116
"Aedes (Ochlerotatus) flavescens (Theobald, 1901)",NHMUK015558083,['Dr Mark D. Welch'],,2023,United Kingdom,England,52.399583,0.28122116
"Culicidae Meigen, 1818",NHMUK013438431,['Ms Dawn Painter'],,2018,United Kingdom,England,51.594,-0.165
"Culicidae Meigen, 1818",NHMUK015112406,"['Dr Erica McAlister', 'Mr Yuki Haba']",,2022,United Kingdom,England,51.519167,-0.093889
"Culicidae Meigen, 1818",NHMUK015112408,"['Dr Erica McAlister', 'Mr Yuki Haba']",,2022,United Kingdom,England,51.519167,-0.093889
"Culicidae Meigen, 1818",NHMUK015112411,"['Dr Erica McAlister', 'Mr Yuki Haba']",,2022,United Kingdom,England,51.519167,-0.093889
"Culicidae Meigen, 1818",NHMUK015112407,"['Dr Erica McAlister', 'Mr Yuki Haba']",,2022,United Kingdom,England,51.519167,-0.093889
"Culicidae Meigen, 1818",NHMUK015112410,"['Dr Erica McAlister', 'Mr Yuki Haba']",,2022,United Kingdom,England,51.519167,-0.093889
"Culicidae Meigen, 1818",NHMUK015112409,"['Dr Erica McAlister', 'Mr Yuki Haba']",,2022,United Kingdom,England,51.519167,-0.093889
"Culiseta (Culiseta) annulata Schrank, 1776",NHMUK015206750,['Maxwell V.L. Barclay'],,2023,United Kingdom,England,51.342395,-0.64979196
Aedes,NHMUK014444540,['Olga Sivell'],,2021,United Kingdom,England,51.693756,-1.336827
"Culex (Culex) pipiens Linnaeus, 1758",NHMUK014316442,['Dr Duncan Sivell'],,2024,United Kingdom,England,51.889913,-0.381207
"Culex (Culex) pipiens Linnaeus, 1758",NHMUK013444338,['Dr Duncan Sivell'],,2023,United Kingdom,England,51.889913,-0.381207
"Culex (Culex) pipiens Linnaeus, 1758",NHMUK013444337,['Dr Duncan Sivell'],,2023,United Kingdom,England,51.889913,-0.381207
"Culiseta (Culiseta) annulata Schrank, 1776",NHMUK013436191,['Dr Duncan Sivell'],,2024,United Kingdom,England,51.889913,-0.381207
"Culex territans Walker, 1856",NHMUK013436190,['Dr Duncan Sivell'],,2024,United Kingdom,England,51.889913,-0.381207
"Culex territans Walker, 1856",NHMUK013436189,['Dr Duncan Sivell'],,2024,United Kingdom,England,51.889913,-0.381207
"Culex territans Walker, 1856",NHMUK013436188,['Dr Duncan Sivell'],,2024,United Kingdom,England,51.889913,-0.381207
"Culex territans Walker, 1856",NHMUK013436187,['Dr Duncan Sivell'],,2024,United Kingdom,England,51.889913,-0.381207
"Culiseta (Culiseta) annulata Schrank, 1776",NHMUK015059249,['Ryan Mitchell'],,2022,United Kingdom,England,52.671905513591,1.52
Anopheles messeae,BMNH(E)966513,['Miss Gertrude K. Ricardo'],,1893,United Kingdom,Wales,52.51210022,-3.3131001
Anopheles messeae,BMNH(E)966512,['Miss Gertrude K. Ricardo'],,1893,United Kingdom,Wales,52.51210022,-3.3131001
"Anopheles (Anopheles) plumbeus Stephens, 1828",BMNH(E)966510,['Miss Gertrude K. Ricardo'],,1893,United Kingdom,Wales,52.51210022,-3.3131001
"Culex Linnaeus, 1758",BMNH(E)966120,['Miss Gertrude K. Ricardo'],,1893,United Kingdom,Wales,52.51210022,-3.3131001
"Culex Linnaeus, 1758",BMNH(E)966117,['Miss Gertrude K. Ricardo'],,1893,United Kingdom,Wales,52.51210022,-3.3131001
"Aedes (Ochlerotatus) cantans Meigen, 1818",BMNH(E)966571,['Miss Gertrude K. Ricardo'],,1895,United Kingdom,Wales,51.763111,-2.849059
"Anopheles (Anopheles) plumbeus Stephens, 1828",BMNH(E)966509,['Miss Gertrude K. Ricardo'],,1893,United Kingdom,Wales,52.51210022,-3.3131001
"Anopheles (Anopheles) plumbeus Stephens, 1828",BMNH(E)966508,['Miss Gertrude K. Ricardo'],,1893,United Kingdom,Wales,52.51210022,-3.3131001
"Culex Linnaeus, 1758",BMNH(E)966118,['Miss Gertrude K. Ricardo'],,1893,United Kingdom,Wales,52.51210022,-3.3131001
"Culex Linnaeus, 1758",BMNH(E)966115,['Miss Gertrude K. Ricardo'],,1893,United Kingdom,Wales,52.51210022,-3.3131001
"Culex Linnaeus, 1758",BMNH(E)966110,['Miss Gertrude K. Ricardo'],,1893,United Kingdom,Wales,52.51210022,-3.3131001
"Culex Linnaeus, 1758",BMNH(E)966109,['Miss Gertrude K. Ricardo'],,1893,United Kingdom,Wales,52.51210022,-3.3131001
"Culex Linnaeus, 1758",BMNH(E)966108,['Miss Gertrude K. Ricardo'],,1893,United Kingdom,Wales,52.51210022,-3.3131001
"Culex Linnaeus, 1758",BMNH(E)966107,['Miss Gertrude K. Ricardo'],,1893,United Kingdom,Wales,52.51210022,-3.3131001
"Culex Linnaeus, 1758",BMNH(E)966106,['Miss Gertrude K. Ricardo'],,1893,United Kingdom,Wales,52.51210022,-3.3131001
"Culex Linnaeus, 1758",BMNH(E)966105,['Miss Gertrude K. Ricardo'],,1893,United Kingdom,Wales,52.51210022,-3.3131001
"Culex Linnaeus, 1758",BMNH(E)966104,['Miss Gertrude K. Ricardo'],,1893,United Kingdom,Wales,52.51210022,-3.3131001
"Culex Linnaeus, 1758",BMNH(E)966103,['Miss Gertrude K. Ricardo'],,1893,United Kingdom,Wales,52.51210022,-3.3131001
"Culex Linnaeus, 1758",BMNH(E)966100,['Miss Gertrude K. Ricardo'],,1893,United Kingdom,Wales,52.51210022,-3.3131001
"Culex Linnaeus, 1758",BMNH(E)966099,['Miss Gertrude K. Ricardo'],,1893,United Kingdom,Wales,52.51210022,-3.3131001
"Culex Linnaeus, 1758",BMNH(E)966096,['Miss Gertrude K. Ricardo'],,1893,United Kingdom,Wales,52.51210022,-3.3131001
"Culex Linnaeus, 1758",BMNH(E)966095,['Miss Gertrude K. Ricardo'],,1893,United Kingdom,Wales,52.51210022,-3.3131001
"Culex Linnaeus, 1758",BMNH(E)966094,['Miss Gertrude K. Ricardo'],,1893,United Kingdom,Wales,52.51210022,-3.3131001
"Culex Linnaeus, 1758",BMNH(E)966093,['Miss Gertrude K. Ricardo'],,1893,United Kingdom,Wales,52.51210022,-3.3131001
"Culex Linnaeus, 1758",BMNH(E)966092,['Miss Gertrude K. Ricardo'],,1893,United Kingdom,Wales,52.51210022,-3.3131001
"Culex Linnaeus, 1758",BMNH(E)966091,['Miss Gertrude K. Ricardo'],,1892,United Kingdom,England,51.7044,-2.1871
"Culex Linnaeus, 1758",BMNH(E)966090,['Miss Gertrude K. Ricardo'],,1893,United Kingdom,Wales,52.51210022,-3.3131001
"Culex Linnaeus, 1758",BMNH(E)966086,['Miss Gertrude K. Ricardo'],,1893,United Kingdom,Wales,52.51210022,-3.3131001
"Culex Linnaeus, 1758",BMNH(E)966085,['Miss Gertrude K. Ricardo'],,1893,United Kingdom,Wales,52.51210022,-3.3131001
"Aedes (Ochlerotatus) punctor Kirby, 1837",BMNH(E)964336,['Ralph L. Coe'],,1951,United Kingdom,Scotland,56.975893,-3.257668
"Aedes (Ochlerotatus) annulipes (Meigen, 1830)",BMNH(E)963430,['Frederick W. Edwards'],,1919,United Kingdom,England,52.4447,-0.1925
"Aedes (Ochlerotatus) cantans Meigen, 1818",BMNH(E)966569,['Frederick W. Edwards'],,1919,United Kingdom,England,52.4447,-0.1925
"Aedes (Ochlerotatus) cantans Meigen, 1818",BMNH(E)966565,['Frederick W. Edwards'],,1919,United Kingdom,England,52.4447,-0.1925
"Aedes (Ochlerotatus) cantans Meigen, 1818",BMNH(E)966558,['Frederick W. Edwards'],,1919,United Kingdom,England,52.4447,-0.1925
"Aedes (Ochlerotatus) cantans Meigen, 1818",BMNH(E)966557,['Frederick W. Edwards'],,1919,United Kingdom,England,52.4447,-0.1925
"Aedes (Ochlerotatus) cantans Meigen, 1818",BMNH(E)966555,['Frederick W. Edwards'],,1919,United Kingdom,England,52.4447,-0.1925
"Aedes (Ochlerotatus) cantans Meigen, 1818",BMNH(E)966554,['Frederick W. Edwards'],,1919,United Kingdom,England,52.4447,-0.1925
"Aedes (Ochlerotatus) cantans Meigen, 1818",BMNH(E)966553,['Frederick W. Edwards'],,1919,United Kingdom,England,52.4447,-0.1925
"Aedes (Ochlerotatus) cantans Meigen, 1818",BMNH(E)966550,['Frederick W. Edwards'],,1919,United Kingdom,England,52.4447,-0.1925
"Aedes (Ochlerotatus) cantans Meigen, 1818",BMNH(E)966547,['Frederick W. Edwards'],,1919,United Kingdom,England,52.4447,-0.1925
"Aedes (Ochlerotatus) cantans Meigen, 1818",BMNH(E)966543,['Frederick W. Edwards'],,1919,United Kingdom,England,52.4447,-0.1925
"Aedes (Ochlerotatus) cantans Meigen, 1818",BMNH(E)966542,['Frederick W. Edwards'],,1919,United Kingdom,England,52.4447,-0.1925
"Aedes (Ochlerotatus) cantans Meigen, 1818",BMNH(E)966541,['Frederick W. Edwards'],,1919,United Kingdom,England,52.4447,-0.1925
"Aedes (Ochlerotatus) cantans Meigen, 1818",BMNH(E)966540,['Frederick W. Edwards'],,1919,United Kingdom,England,52.4447,-0.1925
