Date,Hospitalizations,ICU admissions,Virus copies/L (moving average)
2022-04-02,156,25,
2022-04-03,,,6662.37346520792
2022-04-06,,,6736.78534237984
2022-04-09,170,26,
2022-04-10,,,7725.97715656791
2022-04-13,,,8970.35375268405
2022-04-16,189,29,
2022-04-17,,,10049.7674212271
2022-04-20,,,11884.9849256905
2022-04-23,278,19,
2022-04-24,,,14852.7593688532
2022-04-27,,,20275.3865301099
2022-04-30,345,38,
2022-05-01,,,25658.2983444163
2022-05-04,,,30120.3769453465
2022-05-07,414,46,
2022-05-08,,,31976.5397188918
2022-05-11,,,33408.4673517671
2022-05-14,522,47,
2022-05-15,,,35801.1326300629
2022-05-18,,,35362.6707796786
2022-05-21,490,56,
2022-05-22,,,34764.8319553708
2022-05-25,,,34342.1492200971
2022-05-28,469,54,
2022-05-29,,,35048.589151615
2022-06-01,,,33083.2679598803
2022-06-04,469,41,
2022-06-05,,,32477.1755771756
2022-06-08,,,30261.7607416856
2022-06-11,482,52,
2022-06-12,,,29417.3338863177
2022-06-15,,,29943.1735774734
2022-06-18,424,48,
2022-06-19,,,31615.6411113432
2022-06-22,,,31470.9332444332
2022-06-25,449,43,
2022-06-26,,,31870.0916538158
2022-06-29,,,29168.7367330935
2022-07-02,460,39,
2022-07-03,,,26401.2723639968
2022-07-06,,,24528.4284262632
2022-07-09,466,54,
2022-07-10,,,23262.8541350905
2022-07-13,,,25429.3978953304
2022-07-16,511,58,
2022-07-17,,,27950.1054994947
2022-07-20,,,28405.1856915323
2022-07-23,482,57,
2022-07-24,,,27850.0221010485
2022-07-27,,,27519.096878889
2022-07-30,529,58,
2022-07-31,,,27544.4244820233
2022-08-03,,,29091.7421769344
2022-08-06,498,53,
2022-08-07,,,30678.1033816312
2022-08-10,,,30682.0417068894
2022-08-13,540,63,
2022-08-14,,,28705.1373203097
2022-08-17,,,28753.8812119158
2022-08-20,563,60,
2022-08-21,,,29000.2612056081
2022-08-24,,,28523.6004680646
2022-08-27,503,53,
2022-08-28,,,28702.3457557779
2022-08-31,,,25342.6090036533
2022-09-03,460,68,
2022-09-04,,,21589.0777882898
2022-09-07,,,18334.1941199621
2022-09-10,453,49,
2022-09-11,,,16746.7397344231
2022-09-14,,,16130.71463273
2022-09-17,474,54,
2022-09-18,,,16253.0638994514
2022-09-21,,,16031.508641864
2022-09-24,439,63,
2022-09-25,,,16636.5149752286
2022-09-28,,,17158.7485147427
2022-10-01,475,46,
2022-10-02,,,17571.7442955976
2022-10-05,,,18095.7660587388
2022-10-08,458,45,
2022-10-09,,,17929.0887330689
2022-10-12,,,17000.9519974694
2022-10-15,416,69,
2022-10-16,,,16860.4536420935
2022-10-19,,,15875.3442286773
2022-10-22,499,58,
2022-10-23,,,15762.2226314103
2022-10-26,,,16649.2907536932
2022-10-29,474,60,
2022-10-30,,,18244.1075871208
2022-11-02,,,19692.2404963172
2022-11-05,478,61,
2022-11-06,,,20940.9021874295
2022-11-09,,,19154.3077481019
2022-11-12,494,75,
2022-11-13,,,17427.3239625113
2022-11-16,,,15445.9816360259
2022-11-19,521,73,
2022-11-20,,,14711.4183518291
2022-11-23,,,16747.2216335869
2022-11-26,520,79,
2022-11-27,,,19895.5020727646
2022-11-30,,,22702.7742744769
2022-12-03,621,75,
2022-12-04,,,24686.1011016209
2022-12-07,,,24804.0600470405
2022-12-10,561,88,
2022-12-11,,,24560.4371879958
2022-12-14,,,24076.6927778158
2022-12-17,547,63,
2022-12-18,,,23846.0101535261
2022-12-21,,,22587.5654062057
2022-12-24,559,74,
2022-12-25,,,21586.630351294
2022-12-28,,,21529.0921390946
2022-12-31,573,70,
2023-01-01,,,21825.4949371493
2023-01-04,,,22133.3358067591
2023-01-07,513,76,
2023-01-08,,,22070.1651452347
2023-01-11,,,19899.1510139292
2023-01-14,367,66,
2023-01-15,,,17466.5108628849
2023-01-18,,,17471.653945608
2023-01-21,348,63,
2023-01-22,,,18984.4181516741
2023-01-25,,,22210.500406947
2023-01-28,371,60,
2023-01-29,,,25460.1560271549
2023-02-01,,,28275.8119357653
2023-02-04,336,45,
2023-02-05,,,29501.6385275698
2023-02-08,,,29646.4970872607
2023-02-11,421,54,
2023-02-12,,,29731.9755808718
2023-02-15,,,27008.4075044309
2023-02-18,356,62,
2023-02-19,,,23677.1244478435
2023-02-22,,,20435.1043319391
2023-02-25,359,48,
2023-02-26,,,18158.8649724657
2023-03-01,,,16166.9235316025
2023-03-04,339,55,
2023-03-05,,,15434.6013400362
2023-03-08,,,13857.2815643914
2023-03-11,293,43,
2023-03-12,,,12792.9773063515
2023-03-15,,,13551.6914453082
2023-03-18,239,28,
2023-03-19,,,14735.2149961143
2023-03-22,,,15978.5354985095
2023-03-25,232,35,
2023-03-26,,,17167.9092604438
2023-03-29,,,15889.4476838411
2023-04-01,232,30,
2023-04-02,,,14341.8054610624
2023-04-05,,,11041.212261858
2023-04-08,212,24,
2023-04-09,,,8278.74136731693
2023-04-12,,,6507.14579476185
2023-04-15,188,42,
2023-04-16,,,5757.22080539957
2023-04-19,,,5333.04617606402
2023-04-22,175,26,
2023-04-23,,,5208.83674527281
2023-04-26,,,4671.04736286769
2023-04-29,138,24,
2023-04-30,,,4424.85789883439
2023-05-03,,,4831.39217508785
2023-05-06,126,23,
2023-05-07,,,7679.71202681394
2023-05-10,,,9420.1700028013
2023-05-13,109,14,
2023-05-14,,,8924.09912292604
2023-05-17,,,7016.18082509673
2023-05-20,81,15,
2023-05-21,,,4660.98903031669
2023-05-24,,,2920.17084422268
2023-05-27,78,6,
2023-05-28,,,2398.75398329067
2023-05-31,,,3671.18463546101
2023-06-03,47,7,
2023-06-04,,,4943.3417280206
2023-06-07,,,4632.65915123266
2023-06-10,40,9,
2023-06-11,,,3933.89978580422
2023-06-14,,,2866.26766998724
2023-06-17,52,9,
2023-06-18,,,1923.00961663967
2023-06-21,,,1643.60343197423
2023-06-24,41,6,
2023-06-25,,,1781.39337260768
2023-06-28,,,1755.61674997101
2023-07-01,47,11,
2023-07-02,,,1680.48227807911
2023-07-05,,,1675.45616945321
2023-07-08,39,7,
2023-07-09,,,1797.98644648851
2023-07-12,,,1822.85472703204
2023-07-15,57,9,
2023-07-16,,,1948.41951460318
2023-07-19,,,1995.85307417277
2023-07-22,79,7,
2023-07-23,,,2298.02467954269
2023-07-26,,,2505.96116630189
2023-07-29,69,14,
2023-07-30,,,2432.56802147333
2023-08-02,,,2138.83608270376
2023-08-05,98,7,
2023-08-06,,,1817.05334626257
2023-08-09,,,2113.71876427037
2023-08-12,116,12,
2023-08-13,,,2460.00270616895
2023-08-16,,,3044.49119926883
2023-08-19,135,12,
2023-08-20,,,3459.37468393739
2023-08-23,,,3736.57336821589
2023-08-26,172,24,
2023-08-27,,,3734.96611701813
2023-08-30,,,4000.2845287278
2023-09-02,186,23,
2023-09-03,,,4232.9700741514
2023-09-06,,,4356.33241276314
2023-09-09,192,18,
2023-09-10,,,4283.95200592825
2023-09-13,,,4817.93418602366
2023-09-16,216,32,
2023-09-17,,,5466.16045139588
2023-09-20,,,5994.09243252548
2023-09-23,257,35,
2023-09-24,,,6375.46125648119
2023-09-27,,,6256.33219877461
2023-09-30,266,28,
2023-10-01,,,5604.21841325828
2023-10-04,,,4919.91836720265
2023-10-07,233,41,
2023-10-08,,,4507.13268087188
2023-10-11,,,4345.39822134349
2023-10-14,295,33,
2023-10-15,,,4292.14938053345
2023-10-18,,,4543.02975362097
2023-10-21,306,45,
2023-10-22,,,4765.97546665122
2023-10-25,,,4684.61606661305
2023-10-28,274,32,
2023-10-29,,,4437.81013826371
2023-11-01,,,4619.58160853469
2023-11-04,272,33,
2023-11-05,,,4850.02035372591
2023-11-08,,,5332.09427643552
2023-11-11,338,33,
2023-11-12,,,5647.37089818812
2023-11-15,,,6675.30741674068
2023-11-18,396,61,
2023-11-19,,,7516.2346256097
2023-11-22,,,7923.5792479293
2023-11-25,407,53,
2023-11-26,,,8003.41046476557
2023-11-29,,,8583.74958657255
2023-12-02,494,86,
2023-12-03,,,9275.7878901604
2023-12-06,,,11479.8174642009
2023-12-09,499,81,
2023-12-10,,,13516.3731524309
2023-12-13,,,13870.933495523
2023-12-16,503,71,
2023-12-17,,,13287.671250775
2023-12-20,,,12084.7803829141
2023-12-23,556,73,
2023-12-24,,,10905.234367789
2023-12-27,,,12143.3599515789
2023-12-30,615,92,
2023-12-31,,,13804.7467233628
2024-01-03,,,13887.6579259831
2024-01-06,544,79,
2024-01-07,,,13327.8357882396
2024-01-10,,,11711.5201989831
2024-01-13,481,62,
2024-01-14,,,9985.1625152779
2024-01-17,,,9071.65011225629
2024-01-20,354,58,
2024-01-21,,,8867.89846669403
2024-01-24,,,8444.56691157881
2024-01-27,323,52,
2024-01-28,,,8220.54963829901
2024-01-31,,,8256.12589371826
2024-02-03,279,33,
2024-02-04,,,7884.96761984803
2024-02-07,,,7849.90133013646
2024-02-10,261,39,
2024-02-11,,,7562.18150168561
2024-02-14,,,6950.62485411223
2024-02-17,228,28,
2024-02-18,,,6338.42978023456
2024-02-21,,,6639.71798499591
2024-02-24,172,24,
2024-02-25,,,7123.25463761826
2024-02-28,,,7260.65371644302
2024-03-02,161,29,
2024-03-03,,,7425.73646451664
2024-03-06,,,6943.85933721463
2024-03-09,154,22,
2024-03-10,,,6241.65874940668
2024-03-13,,,5578.41777764044
2024-03-16,122,17,
2024-03-17,,,5387.52596048257
2024-03-20,,,4495.25622299219
2024-03-23,108,18,
2024-03-24,,,4151.9329792234
2024-03-27,,,3906.04641370402
2024-03-30,101,13,
2024-03-31,,,3909.29259800074
2024-04-03,,,4365.64443005818
2024-04-06,91,17,
2024-04-07,,,4898.05023253107
2024-04-10,,,4989.11782493621
2024-04-13,79,9,
2024-04-14,,,4955.51725176223
2024-04-17,,,4357.97283613118
2024-04-20,65,4,
2024-04-21,,,3574.58459294581
2024-04-24,,,3107.38969593814
2024-04-27,68,9,
2024-04-28,,,3105.21997697143
2024-05-01,,,2795.41360345238
2024-05-04,71,9,
2024-05-05,,,2610.08795578618
2024-05-08,,,2450.77889872568
2024-05-11,65,8,
2024-05-12,,,2416.4796605755
2024-05-15,,,2534.55231642258
2024-05-18,78,9,
2024-05-19,,,2892.70076190552
2024-05-22,,,3024.43658823052
2024-05-25,52,10,
2024-05-26,,,3198.11466494102
2024-05-29,,,3576.75364356897
2024-06-01,84,5,
2024-06-02,,,3714.16540781892
2024-06-05,,,3580.61044062856
2024-06-08,57,2,
2024-06-09,,,3409.736772607
2024-06-12,,,3121.1204890967
2024-06-15,95,10,
2024-06-16,,,2940.03607057334
2024-06-19,,,2773.9786412637
2024-06-22,104,3,
2024-06-23,,,2645.00184035272
