id,name,rgb,num_parts
0,Black,05131D,782658
1,Blue,0055BF,198119
2,Green,237841,84981
3,Dark Turquoise,008F9B,21086
4,Red,C91A09,304291
5,Dark Pink,C870A0,14142
6,Brown,583927,9554
7,Light Gray,9BA19D,92795
8,Dark Gray,6D6E5C,22432
9,Light Blue,B4D2E3,42
10,Bright Green,4B9F4A,24044
11,Light Turquoise,55A5AF,136
12,Salmon,F2705E,185
13,Pink,FC97AC,477
14,Yellow,F2CD37,204901
15,White,FFFFFF,483991
17,Light Green,C2DAB8,165
18,Light Yellow,FBE696,340
19,Tan,E4CD9E,176450
20,Light Violet,C9CAE2,182
21,Glow In Dark Opaque,D4D5C9,209
22,Purple,81007B,1005
23,Dark Blue-Violet,2032B0,9
25,Orange,FE8A18,50781
26,Magenta,923978,12602
27,Lime,BBE90B,41603
28,Dark Tan,958A73,64701
29,Bright Pink,E4ADC8,16730
30,Medium Lavender,AC78BA,8853
31,Lavender,E1D5ED,7615
32,Trans-Black IR Lens,635F52,0
33,Trans-Dark Blue,0020A0,10485
34,Trans-Green,84B68D,5263
35,Trans-Bright Green,D9E4A7,3454
36,Trans-Red,C91A09,19945
40,Trans-Brown,635F52,8654
41,Trans-Light Blue,AEEFEC,31029
42,Trans-Neon Green,F8F184,6796
43,Trans-Very Lt Blue,C1DFF0,232
45,Trans-Dark Pink,DF6695,5570
46,Trans-Yellow,F5CD2F,12892
47,Trans-Clear,FCFCFC,44572
52,Trans-Purple,A5A5CB,2964
54,Trans-Neon Yellow,DAB000,187
57,Trans-Neon Orange,FF800D,5607
60,Chrome Antique Brass,645A4C,33
61,Chrome Blue,6C96BF,26
62,Chrome Green,3CB371,2
63,Chrome Pink,AA4D8E,19
64,Chrome Black,1B2A34,10
68,Very Light Orange,F3CF9B,16
69,Light Purple,CD6298,102
70,Reddish Brown,582A12,160612
71,Light Bluish Gray,A0A5A9,481447
72,Dark Bluish Gray,6C6E68,347435
73,Medium Blue,5A93DB,13240
74,Medium Green,73DCA1,569
75,Speckle Black-Copper,05131D,10
76,Speckle DBGray-Silver,6C6E68,12
77,Light Pink,FECCCF,184
78,Light Nougat,F6D7B3,10272
79,Milky White,FFFFFF,239
80,Metallic Silver,A5A9B4,3851
81,Metallic Green,899B5F,23
82,Metallic Gold,DBAC34,2644
84,Medium Nougat,AA7D55,36282
85,Dark Purple,3F3691,16069
86,Light Brown,7C503A,167
89,Royal Blue,4C61DB,190
92,Nougat,D09168,2697
100,Light Salmon,FEBABD,180
110,Violet,4354A3,191
112,Medium Bluish Violet,6874CA,63
114,Glitter Trans-Dark Pink,DF6695,234
115,Medium Lime,C7D23C,192
117,Glitter Trans-Clear,FFFFFF,230
118,Aqua,B3D7D1,326
120,Light Lime,D9E4A7,28
125,Light Orange,F9BA61,66
129,Glitter Trans-Purple,A5A5CB,169
132,Speckle Black-Silver,05131D,244
133,Speckle Black-Gold,05131D,5
134,Copper,AE7A59,191
135,Pearl Light Gray,9CA3A8,5488
137,Pearl Sand Blue,7988A1,171
142,Pearl Light Gold,DCBC81,28
143,Trans-Medium Blue,CFE2F7,704
148,Pearl Dark Gray,575857,532
150,Pearl Very Light Gray,ABADAC,40
