urban_rural,YEAR,category,pct,se,variable,n_unweighted,suppress_n,suppress
Large central metro,2019,No,92.5,0.38,Delayed Care Due to Cost,11137,FALSE,FALSE
Large fringe metro,2019,No,93.66,0.37,Delayed Care Due to Cost,9025,FALSE,FALSE
Medium/small metro,2019,No,92.34,0.35,Delayed Care Due to Cost,12104,FALSE,FALSE
Nonmetropolitan,2019,No,92.14,0.51,Delayed Care Due to Cost,5945,FALSE,FALSE
Large central metro,2020,No,94.16,0.3,Delayed Care Due to Cost,10341,FALSE,FALSE
Large fringe metro,2020,No,94.49,0.34,Delayed Care Due to Cost,8490,FALSE,FALSE
Medium/small metro,2020,No,93.4,0.31,Delayed Care Due to Cost,11117,FALSE,FALSE
Nonmetropolitan,2020,No,93.35,0.52,Delayed Care Due to Cost,5094,FALSE,FALSE
Large central metro,2021,No,94.81,0.28,Delayed Care Due to Cost,10816,FALSE,FALSE
Large fringe metro,2021,No,94.63,0.3,Delayed Care Due to Cost,8508,FALSE,FALSE
Medium/small metro,2021,No,93.87,0.31,Delayed Care Due to Cost,11066,FALSE,FALSE
Nonmetropolitan,2021,No,92.65,0.44,Delayed Care Due to Cost,4980,FALSE,FALSE
Large central metro,2022,No,94.15,0.32,Delayed Care Due to Cost,9916,FALSE,FALSE
Large fringe metro,2022,No,94.52,0.32,Delayed Care Due to Cost,7973,FALSE,FALSE
Medium/small metro,2022,No,94.47,0.3,Delayed Care Due to Cost,10180,FALSE,FALSE
Nonmetropolitan,2022,No,93.66,0.43,Delayed Care Due to Cost,4957,FALSE,FALSE
Large central metro,2023,No,94.45,0.29,Delayed Care Due to Cost,10615,FALSE,FALSE
Large fringe metro,2023,No,94.75,0.33,Delayed Care Due to Cost,8310,FALSE,FALSE
Medium/small metro,2023,No,93.34,0.35,Delayed Care Due to Cost,10819,FALSE,FALSE
Nonmetropolitan,2023,No,94.27,0.41,Delayed Care Due to Cost,5186,FALSE,FALSE
Large central metro,2024,No,93.25,0.3,Delayed Care Due to Cost,11004,FALSE,FALSE
Large fringe metro,2024,No,93.51,0.36,Delayed Care Due to Cost,8156,FALSE,FALSE
Medium/small metro,2024,No,92.05,0.36,Delayed Care Due to Cost,10509,FALSE,FALSE
Nonmetropolitan,2024,No,93.33,0.36,Delayed Care Due to Cost,8325,FALSE,FALSE
Large central metro,2019,Yes,7.5,0.38,Delayed Care Due to Cost,796,FALSE,FALSE
Large fringe metro,2019,Yes,6.34,0.37,Delayed Care Due to Cost,561,FALSE,FALSE
Medium/small metro,2019,Yes,7.66,0.35,Delayed Care Due to Cost,937,FALSE,FALSE
Nonmetropolitan,2019,Yes,7.86,0.51,Delayed Care Due to Cost,481,FALSE,FALSE
Large central metro,2020,Yes,5.84,0.3,Delayed Care Due to Cost,585,FALSE,FALSE
