YEAR,category,pct,se,variable,n_unweighted,suppress_n,suppress
2019,No,8.75,0.23,Usual Place for Care,3137,FALSE,FALSE
2020,No,8.14,0.25,Usual Place for Care,2539,FALSE,FALSE
2021,No,8.58,0.23,Usual Place for Care,2786,FALSE,FALSE
2022,No,8.85,0.26,Usual Place for Care,2705,FALSE,FALSE
2023,No,8.84,0.25,Usual Place for Care,2933,FALSE,FALSE
2024,No,8.2,0.22,Usual Place for Care,2965,FALSE,FALSE
2019,No one place,1.45,0.1,Usual Place for Care,570,FALSE,FALSE
2020,No one place,1.56,0.12,Usual Place for Care,573,FALSE,FALSE
2021,No one place,1.54,0.12,Usual Place for Care,553,FALSE,FALSE
2022,No one place,1.71,0.11,Usual Place for Care,597,FALSE,FALSE
2023,No one place,1.9,0.13,Usual Place for Care,697,FALSE,FALSE
2024,No one place,2.09,0.13,Usual Place for Care,827,FALSE,FALSE
2019,Yes,89.79,0.25,Usual Place for Care,37289,FALSE,FALSE
2020,Yes,90.3,0.28,Usual Place for Care,34070,FALSE,FALSE
2021,Yes,89.88,0.26,Usual Place for Care,34156,FALSE,FALSE
2022,Yes,89.44,0.28,Usual Place for Care,31579,FALSE,FALSE
2023,Yes,89.26,0.29,Usual Place for Care,33339,FALSE,FALSE
2024,Yes,89.72,0.25,Usual Place for Care,36924,FALSE,FALSE
2019,No,92.68,0.2,Delayed Care Due to Cost,38211,FALSE,FALSE
2020,No,93.9,0.17,Delayed Care Due to Cost,35042,FALSE,FALSE
2021,No,94.19,0.16,Delayed Care Due to Cost,35370,FALSE,FALSE
2022,No,94.27,0.17,Delayed Care Due to Cost,33026,FALSE,FALSE
2023,No,94.17,0.17,Delayed Care Due to Cost,34930,FALSE,FALSE
2024,No,92.97,0.18,Delayed Care Due to Cost,37994,FALSE,FALSE
2019,Yes,7.32,0.2,Delayed Care Due to Cost,2775,FALSE,FALSE
2020,Yes,6.1,0.17,Delayed Care Due to Cost,2118,FALSE,FALSE
2021,Yes,5.81,0.16,Delayed Care Due to Cost,2112,FALSE,FALSE
2022,Yes,5.73,0.17,Delayed Care Due to Cost,1847,FALSE,FALSE
2023,Yes,5.83,0.17,Delayed Care Due to Cost,2017,FALSE,FALSE
2024,Yes,7.03,0.18,Delayed Care Due to Cost,2691,FALSE,FALSE
2019,No,84.9,0.4,Medicaid Coverage,35467,FALSE,FALSE
2020,No,85.34,0.45,Medicaid Coverage,33079,FALSE,FALSE
2021,No,84.6,0.44,Medicaid Coverage,32399,FALSE,FALSE
2022,No,84.26,0.43,Medicaid Coverage,30032,FALSE,FALSE
2023,No,82.9,0.42,Medicaid Coverage,31422,FALSE,FALSE
2024,No,84.37,0.39,Medicaid Coverage,34985,FALSE,FALSE
2019,Yes,15.1,0.4,Medicaid Coverage,5562,FALSE,FALSE
2020,Yes,14.66,0.45,Medicaid Coverage,4164,FALSE,FALSE
2021,Yes,15.4,0.44,Medicaid Coverage,5193,FALSE,FALSE
2022,Yes,15.74,0.43,Medicaid Coverage,4935,FALSE,FALSE
2023,Yes,17.1,0.42,Medicaid Coverage,5634,FALSE,FALSE
2024,Yes,15.63,0.39,Medicaid Coverage,5848,FALSE,FALSE
